N,alpha,cutoff
230,0.05,0.0167
231,0.001,0.0491
231,0.005,0.034
231,0.01,0.0288
231,0.05,0.0166
232,0.001,0.0473
232,0.005,0.0349
232,0.01,0.0287
232,0.05,0.0166
233,0.001,0.0465
233,0.005,0.0337
233,0.01,0.0287
233,0.05,0.0165
234,0.001,0.0469
234,0.005,0.0335
234,0.01,0.0281
234,0.05,0.0163
235,0.001,0.0454
235,0.005,0.0332
235,0.01,0.0283
235,0.05,0.0164
236,0.001,0.046
236,0.005,0.0332
236,0.01,0.028
236,0.05,0.016
237,0.001,0.0455
237,0.005,0.033
237,0.01,0.0278
237,0.05,0.0164
238,0.001,0.0468
238,0.005,0.0331
238,0.01,0.028
238,0.05,0.016
239,0.001,0.0462
239,0.005,0.033
239,0.01,0.0277
239,0.05,0.0161
240,0.001,0.0461
240,0.005,0.033
240,0.01,0.0278
240,0.05,0.016
241,0.001,0.0456
241,0.005,0.0325
241,0.01,0.0274
241,0.05,0.0159
242,0.001,0.0468
242,0.005,0.0334
242,0.01,0.0273
242,0.05,0.0158
243,0.001,0.0469
243,0.005,0.0331
243,0.01,0.0276
243,0.05,0.016
244,0.001,0.046
244,0.005,0.0328
244,0.01,0.0273
244,0.05,0.0156
245,0.001,0.0454
245,0.005,0.0322
245,0.01,0.027
245,0.05,0.0157
246,0.001,0.0449
246,0.005,0.0324
246,0.01,0.0272
246,0.05,0.0156
247,0.001,0.0448
247,0.005,0.0325
247,0.01,0.027
247,0.05,0.0157
248,0.001,0.0438
248,0.005,0.0313
248,0.01,0.0265
248,0.05,0.0154
249,0.001,0.0445
249,0.005,0.031
249,0.01,0.0263
249,0.05,0.0156
250,0.001,0.0444
250,0.005,0.0318
250,0.01,0.0268
250,0.05,0.0156
251,0.001,0.0426
251,0.005,0.0319
251,0.01,0.0262
251,0.05,0.0151
252,0.001,0.0434
252,0.005,0.0315
252,0.01,0.0262
252,0.05,0.0152
253,0.001,0.0429
253,0.005,0.0309
253,0.01,0.0262
253,0.05,0.0151
254,0.001,0.0429
254,0.005,0.0306
254,0.01,0.0256
254,0.05,0.015
255,0.001,0.0404
255,0.005,0.0305
255,0.01,0.0258
255,0.05,0.0152
256,0.001,0.0438
256,0.005,0.031
256,0.01,0.0257
256,0.05,0.0151
257,0.001,0.0389
257,0.005,0.0304
257,0.01,0.0257
257,0.05,0.0149
258,0.001,0.0431
258,0.005,0.031
258,0.01,0.0256
258,0.05,0.0148
259,0.001,0.0413
259,0.005,0.0297
259,0.01,0.0253
259,0.05,0.0147
260,0.001,0.0427
260,0.005,0.0308
260,0.01,0.0258
260,0.05,0.0148
261,0.001,0.0429
261,0.005,0.0303
261,0.01,0.0255
261,0.05,0.0147
262,0.001,0.0408
262,0.005,0.0299
262,0.01,0.0252
262,0.05,0.0145
263,0.001,0.0414
263,0.005,0.03
263,0.01,0.0257
263,0.05,0.0146
264,0.001,0.0405
264,0.005,0.0297
264,0.01,0.0251
264,0.05,0.0145
265,0.001,0.0401
265,0.005,0.0296
265,0.01,0.0248
265,0.05,0.0145
266,0.001,0.0409
266,0.005,0.0295
266,0.01,0.0249
266,0.05,0.0143
267,0.001,0.0408
267,0.005,0.0301
267,0.01,0.0254
267,0.05,0.0142
268,0.001,0.0416
268,0.005,0.0294
268,0.01,0.0247
268,0.05,0.0143
269,0.001,0.0402
269,0.005,0.0291
269,0.01,0.0248
269,0.05,0.0144
270,0.001,0.0384
270,0.005,0.0289
270,0.01,0.0242
270,0.05,0.0141
271,0.001,0.0406
271,0.005,0.029
271,0.01,0.0245
271,0.05,0.0142
272,0.001,0.0404
272,0.005,0.0293
272,0.01,0.0248
272,0.05,0.0142
273,0.001,0.0396
273,0.005,0.0288
273,0.01,0.0243
273,0.05,0.014
274,0.001,0.0416
274,0.005,0.0293
274,0.01,0.0248
274,0.05,0.0141
275,0.001,0.04
275,0.005,0.0289
275,0.01,0.0243
275,0.05,0.014
276,0.001,0.0404
276,0.005,0.029
276,0.01,0.0242
276,0.05,0.0139
277,0.001,0.0387
277,0.005,0.0285
277,0.01,0.024
277,0.05,0.0139
278,0.001,0.0398
278,0.005,0.0283
278,0.01,0.0236
278,0.05,0.0137
279,0.001,0.0397
279,0.005,0.0276
279,0.01,0.0234
279,0.05,0.0137
280,0.001,0.0393
280,0.005,0.0289
280,0.01,0.0238
280,0.05,0.0137
281,0.001,0.0385
281,0.005,0.0283
281,0.01,0.0237
281,0.05,0.0136
282,0.001,0.0382
282,0.005,0.0288
282,0.01,0.0238
282,0.05,0.0135
283,0.001,0.0402
283,0.005,0.0281
283,0.01,0.0233
283,0.05,0.0136
284,0.001,0.038
284,0.005,0.0272
284,0.01,0.0228
284,0.05,0.0134
285,0.001,0.0391
285,0.005,0.0278
285,0.01,0.0229
285,0.05,0.0134
286,0.001,0.0384
286,0.005,0.0278
286,0.01,0.0234
286,0.05,0.0136
287,0.001,0.0377
287,0.005,0.0279
287,0.01,0.0232
287,0.05,0.0136
288,0.001,0.0387
288,0.005,0.0277
288,0.01,0.0229
288,0.05,0.0131
289,0.001,0.0373
289,0.005,0.0268
289,0.01,0.0228
289,0.05,0.0131
290,0.001,0.0384
290,0.005,0.0275
290,0.01,0.0227
290,0.05,0.0134
291,0.001,0.0371
291,0.005,0.0273
291,0.01,0.0228
291,0.05,0.0131
292,0.001,0.0389
292,0.005,0.0274
292,0.01,0.0226
292,0.05,0.013
293,0.001,0.0378
293,0.005,0.027
293,0.01,0.0226
293,0.05,0.013
294,0.001,0.0383
294,0.005,0.0275
294,0.01,0.0233
294,0.05,0.0131
295,0.001,0.0367
295,0.005,0.0265
295,0.01,0.0225
295,0.05,0.0129
296,0.001,0.0363
296,0.005,0.0264
296,0.01,0.0222
296,0.05,0.0129
297,0.001,0.0374
297,0.005,0.0267
297,0.01,0.0224
297,0.05,0.0131
298,0.001,0.0363
298,0.005,0.026
298,0.01,0.022
298,0.05,0.013
299,0.001,0.0357
299,0.005,0.0267
299,0.01,0.0222
299,0.05,0.0128
300,0.001,0.0359
300,0.005,0.0261
300,0.01,0.0223
300,0.05,0.0127
