N,alpha,cutoff
241,0.05,0.0079
242,0.001,0.0231
242,0.005,0.0165
242,0.01,0.0136
242,0.05,0.0079
243,0.001,0.0232
243,0.005,0.0164
243,0.01,0.0137
243,0.05,0.0079
244,0.001,0.0228
244,0.005,0.0163
244,0.01,0.0136
244,0.05,0.0078
245,0.001,0.0224
245,0.005,0.016
245,0.01,0.0134
245,0.05,0.0078
246,0.001,0.0222
246,0.005,0.0161
246,0.01,0.0135
246,0.05,0.0077
247,0.001,0.0222
247,0.005,0.0161
247,0.01,0.0134
247,0.05,0.0078
248,0.001,0.0217
248,0.005,0.0155
248,0.01,0.0132
248,0.05,0.0077
249,0.001,0.022
249,0.005,0.0154
249,0.01,0.0131
249,0.05,0.0078
250,0.001,0.022
250,0.005,0.0158
250,0.01,0.0133
250,0.05,0.0078
251,0.001,0.0211
251,0.005,0.0158
251,0.01,0.013
251,0.05,0.0075
252,0.001,0.0215
252,0.005,0.0156
252,0.01,0.013
252,0.05,0.0075
253,0.001,0.0212
253,0.005,0.0154
253,0.01,0.013
253,0.05,0.0075
254,0.001,0.0212
254,0.005,0.0152
254,0.01,0.0127
254,0.05,0.0075
255,0.001,0.02
255,0.005,0.0151
255,0.01,0.0128
255,0.05,0.0076
256,0.001,0.0217
256,0.005,0.0154
256,0.01,0.0128
256,0.05,0.0075
257,0.001,0.0192
257,0.005,0.0151
257,0.01,0.0128
257,0.05,0.0074
258,0.001,0.0213
258,0.005,0.0154
258,0.01,0.0127
258,0.05,0.0074
259,0.001,0.0204
259,0.005,0.0147
259,0.01,0.0126
259,0.05,0.0073
260,0.001,0.0211
260,0.005,0.0153
260,0.01,0.0128
260,0.05,0.0073
261,0.001,0.0212
261,0.005,0.015
261,0.01,0.0127
261,0.05,0.0073
262,0.001,0.0202
262,0.005,0.0149
262,0.01,0.0125
262,0.05,0.0072
263,0.001,0.0205
263,0.005,0.0149
263,0.01,0.0128
263,0.05,0.0073
264,0.001,0.02
264,0.005,0.0147
264,0.01,0.0125
264,0.05,0.0072
265,0.001,0.0199
265,0.005,0.0147
265,0.01,0.0123
265,0.05,0.0072
266,0.001,0.0203
266,0.005,0.0146
266,0.01,0.0124
266,0.05,0.0071
267,0.001,0.0202
267,0.005,0.015
267,0.01,0.0126
267,0.05,0.0071
268,0.001,0.0206
268,0.005,0.0146
268,0.01,0.0123
268,0.05,0.0071
269,0.001,0.0199
269,0.005,0.0144
269,0.01,0.0123
269,0.05,0.0072
270,0.001,0.019
270,0.005,0.0144
270,0.01,0.012
270,0.05,0.007
271,0.001,0.0201
271,0.005,0.0144
271,0.01,0.0122
271,0.05,0.0071
272,0.001,0.02
272,0.005,0.0146
272,0.01,0.0123
272,0.05,0.0071
273,0.001,0.0196
273,0.005,0.0143
273,0.01,0.0121
273,0.05,0.007
274,0.001,0.0206
274,0.005,0.0145
274,0.01,0.0123
274,0.05,0.007
275,0.001,0.0198
275,0.005,0.0144
275,0.01,0.0121
275,0.05,0.007
276,0.001,0.02
276,0.005,0.0144
276,0.01,0.012
276,0.05,0.0069
277,0.001,0.0192
277,0.005,0.0142
277,0.01,0.0119
277,0.05,0.0069
278,0.001,0.0197
278,0.005,0.0141
278,0.01,0.0117
278,0.05,0.0069
279,0.001,0.0196
279,0.005,0.0137
279,0.01,0.0116
279,0.05,0.0068
280,0.001,0.0194
280,0.005,0.0143
280,0.01,0.0118
280,0.05,0.0068
281,0.001,0.0191
281,0.005,0.014
281,0.01,0.0118
281,0.05,0.0068
282,0.001,0.0189
282,0.005,0.0143
282,0.01,0.0118
282,0.05,0.0067
283,0.001,0.0199
283,0.005,0.0139
283,0.01,0.0116
283,0.05,0.0068
284,0.001,0.0188
284,0.005,0.0135
284,0.01,0.0113
284,0.05,0.0067
285,0.001,0.0194
285,0.005,0.0138
285,0.01,0.0114
285,0.05,0.0067
286,0.001,0.019
286,0.005,0.0138
286,0.01,0.0116
286,0.05,0.0068
287,0.001,0.0187
287,0.005,0.0138
287,0.01,0.0115
287,0.05,0.0068
288,0.001,0.0192
288,0.005,0.0138
288,0.01,0.0114
288,0.05,0.0065
289,0.001,0.0185
289,0.005,0.0133
289,0.01,0.0113
289,0.05,0.0065
290,0.001,0.019
290,0.005,0.0137
290,0.01,0.0113
290,0.05,0.0067
291,0.001,0.0184
291,0.005,0.0136
291,0.01,0.0113
291,0.05,0.0065
292,0.001,0.0192
292,0.005,0.0136
292,0.01,0.0112
292,0.05,0.0065
293,0.001,0.0187
293,0.005,0.0134
293,0.01,0.0112
293,0.05,0.0065
294,0.001,0.019
294,0.005,0.0136
294,0.01,0.0116
294,0.05,0.0065
295,0.001,0.0182
295,0.005,0.0132
295,0.01,0.0112
295,0.05,0.0064
296,0.001,0.018
296,0.005,0.0131
296,0.01,0.011
296,0.05,0.0064
297,0.001,0.0185
297,0.005,0.0133
297,0.01,0.0111
297,0.05,0.0065
298,0.001,0.018
298,0.005,0.0129
298,0.01,0.0109
298,0.05,0.0065
299,0.001,0.0177
299,0.005,0.0133
299,0.01,0.011
299,0.05,0.0064
300,0.001,0.0178
300,0.005,0.013
300,0.01,0.0111
300,0.05,0.0063
